"","Duration","views_2_hours","hog_666","hog_673","hog_676","hog_678","hog_855","cnn_10","cnn_12","cnn_19","cnn_89","pct_nonzero_pixels","doc2vec_11","doc2vec_15","punc_num_..8","num_words","num_stopwords","num_uppercase_chars","Num_Subscribers_Base_low_mid","Num_Subscribers_Base_mid_high","Num_Views_Base_mid_high","avg_growth_low","avg_growth_low_mid","avg_growth_mid_high","count_vids_low","count_vids_low_mid","count_vids_mid_high","growth_2_6"
"1",483,560,0.042889624,0.021884223,0.162238933,0.081657626,0.212466512,4.184099,2.7228508,12.734538,5.929763,0.768263889,0.549754679,-0.768596172,0,10,1,9,0,0,1,0,0,0,0,0,0,5.155357143
"2",226,640,0.051115712,0,0.00967384,0.051106933,0.05502668,2.2659173,3.7371626,7.454588,1.7079434,0.760073302,-0.422698289,0.006349204,0,9,3,5,0,0,0,0,0,0,0,0,0,2.790625
"3",358,41139,0.247782948,0.133899846,0.103578969,0.076889496,0.282002875,2.347855,4.4046307,8.929517,2.95912,0.755815972,0.198415995,-0.764861822,0,5,0,5,1,0,1,0,1,0,0,0,0,2.079656773
"4",1426,6540,0.028386211,0,0.051108963,0.078832437,0.092341375,2.2632027,2.8568993,5.15857,2.1132112,0.719068287,-0.252974629,-1.17618084,0,14,6,10,1,0,0,0,1,0,0,0,1,0.645259939
"5",61,340,0,0.000867329,0.010516547,0.021489285,0,2.8848767,5.1891603,8.992725,2.7104638,0.765852623,0.717438042,-0.787316978,0,10,4,4,0,0,0,0,0,0,0,0,0,2.355882353
"6",361,544,0.281669424,0.101224689,0.011466058,0.122997004,0.012940608,0.33154777,0.08884464,16.922571,7.1906033,0.757644676,0.711653531,-0.479990095,0,13,5,3,0,0,1,0,0,0,0,0,0,3.512867647
"7",249,18930,0.041936111,0,0.050750775,0.078200813,0.014518154,1.9232261,4.6892443,10.381291,3.041497,0.76015625,-0.252454162,-0.774257898,0,16,0,13,0,0,0,0,0,1,0,0,0,4.276703645
"8",203,452362,0.09622776,0.172442861,0.071954273,0.295969916,0.13443552,2.7016287,3.8361163,6.450795,1.8686874,0.769949846,0.121355809,-0.592305422,0,4,1,6,0,0,0,0,1,0,1,0,0,0.105375783
"9",228,5031,0.053618422,0.094940337,0.261873635,0.160746106,0.018640275,4.762083,5.0990114,14.608022,5.2535663,0.755408951,0.702276051,-1.645124674,0,15,2,16,1,0,1,0,0,0,0,0,0,9.992248062
"10",76,992,0.304918531,0.016337947,0.04183391,0.303231258,0.061314625,2.376823,0.83360034,9.356519,4.974596,0.764384645,0.744491518,-1.168843031,0,12,3,3,0,0,1,0,0,0,0,0,0,0.826612903
"11",933,50290,0.021662175,0.070260234,0.062107155,0.049822791,0.084881149,2.2604618,2.5942168,7.2442784,3.2307932,0.695007716,0.496582896,-0.503100872,0,13,0,20,0,0,0,0,0,0,0,0,0,1.173275005
"12",1168,30401,0.023775225,0.030749281,0.032687878,0.091639726,0.012074365,0.54614556,4.9371033,10.748597,0.7892412,0.76916088,0.271469563,-0.149216235,0,7,1,6,0,0,0,0,0,0,0,0,0,2.174270583
"13",62,8082,0.024441392,0.2792446,0.064763472,0.2792446,0.080603014,0.9067749,5.8798213,7.7986073,0.9350971,0.763103781,0.552448571,-1.264258027,0,17,5,11,0,0,0,0,0,0,0,0,0,3.084508785
"14",3687,5140,0.227671865,0.080757035,0.008674612,0.142612441,0.144206546,1.5739344,3.8279035,8.157132,1.9136539,0.749978781,-0.223126382,-0.037903327,0,17,9,14,0,0,0,0,0,1,0,1,0,1.835797665
"15",83,298,0.148627149,0.07723,0.242664773,0.109683044,0.282095536,0,0.17732619,0.18407263,0.08275463,0.753873457,0.887057602,-0.318294317,0,11,2,5,0,0,1,0,0,0,0,0,0,1.318791946
"16",418,3640,0.093464103,0.133339595,0.041388772,0.094162244,0.286681677,2.5217676,5.2602115,11.680968,3.5482752,0.755698302,0.423832357,-0.733816087,0,15,4,7,1,0,1,0,0,0,0,0,0,3.002472527
"17",49,531,0.279171092,0.103655248,0.022465916,0.12375402,0.042108596,3.385367,1.6778282,12.674672,6.5880117,0.757517361,0.481293291,-0.992222309,0,15,7,3,0,0,1,0,0,0,0,0,0,5
"18",66,855,0,0.01908362,0.08260704,0.023433545,0.078234074,0,0.17732619,0.18407263,0.08275463,0.769864969,-1.328329206,0.219027221,0,7,2,4,0,0,0,0,0,0,0,0,0,2.609356725
"19",247,1756,0.008588773,0.032312551,0.06350933,0.18080171,0.131380906,3.8068843,5.122951,6.8601556,2.6201036,0.744436728,-0.127047971,-0.684934139,0,11,0,8,1,0,1,0,0,0,0,0,0,1.932232346
"20",74,517,0.095523929,0.037371071,0.106421366,0.063109512,0.013237923,2.3331776,0,7.014178,4.06568,0.74367284,0.498607188,-0.179246336,0,13,4,11,0,0,1,0,0,0,0,0,0,1.147001934
"21",1824,124,0,0,0,0.001648818,0.001999714,2.871625,4.9898844,9.569544,3.4231246,0.776311728,-0.529588163,0.378052056,0,11,6,7,1,0,0,0,0,1,0,0,0,4
"22",140,216,0.301798016,0.034528887,0.200204761,0.179859865,0.106804993,2.6205025,4.47748,9.282695,4.206134,0.759567901,0.533937573,-0.339746863,0,13,4,12,1,0,1,0,0,0,0,0,0,7.865740741
"23",1828,2070,0,0.031122063,0.054963993,0.150907899,0.079593793,2.8422654,3.6359859,6.197885,2.7851365,0.602019676,0.819432795,0.165928662,0,7,1,4,0,0,0,0,0,0,0,0,0,0.712560386
"24",297,2025,0.066429754,0.101321919,0.07091879,0.258559995,0.11548228,5.093705,3.9137635,8.296926,4.803093,0.764743441,0.663664699,-1.053651571,0,14,6,8,1,0,1,0,0,0,0,0,0,6.365432099
"25",138,105,0,0.060173204,0,0.022774786,0.077291505,1.870606,2.2165468,9.748332,4.3364096,0.769278549,-0.552691877,0.31537658,0,10,1,6,0,0,1,0,0,0,0,0,0,3.142857143
"26",12,24,0.01329211,0.075367537,0.094601497,0,0.074965966,2.325397,4.0704174,6.3686895,1.8997426,0.768668981,-0.152571902,-0.486250728,0,5,0,6,0,0,0,0,0,0,0,0,0,1.333333333
"27",599,1040,0.268633069,0.061527521,0.042090133,0.270973724,0.14273288,1.052632,2.8983426,8.063823,2.1523976,0.766471836,0.390480101,-0.103273362,0,4,0,7,1,0,1,0,1,0,0,1,0,2.093269231
"28",936,35861,0.124114836,0.023788707,0.066573566,0.111092264,0.048633817,2.54323,4.493216,8.6435795,3.8487167,0.758111497,0.239837646,-0.850867808,0,15,0,19,0,0,0,0,0,0,0,0,0,1.938066423
"29",281,1100,0.080385002,0.085967909,0.060014917,0.087979107,0.13330063,2.9142075,1.510348,5.2242293,2.718978,0.759525463,0.289235502,-0.573151469,0,13,4,8,1,0,1,0,0,0,0,0,0,6.389090909
"30",40,870,0.091475119,0.065139091,0,0.039142454,0.040168332,5.322162,2.2629614,18.560404,9.015452,0.745032793,0.482751846,0.143661633,0,10,1,4,0,0,1,0,0,0,0,0,0,7.833333333
"31",261,5640,0.219045137,0.160664295,0.265997919,0.121452999,0.104937312,1.0268918,1.6758212,3.6231513,1.636903,0.759187886,0.831599295,-0.665624499,0,14,4,9,1,0,1,0,0,0,0,0,0,8.734751773
"32",244,1424,0.053065272,0.302344453,0.265090075,0.226838389,0.008559086,3.8024716,3.0013762,9.521344,4.7465734,0.769913194,1.129097939,-0.340803921,0,19,6,11,1,0,1,0,0,0,0,0,0,6.59761236
"33",71,125,0.219514638,0.045318296,0.009906386,0.05090157,0.107055519,2.5334644,2.6679544,11.504519,4.5977573,0.757797068,0.934327245,-0.335023433,0,10,3,1,0,0,1,0,0,0,0,0,0,4.424
"34",132,6454,0.017804512,0.015256859,0.020632147,0.03270747,0.030464836,2.0130353,4.0480375,9.575265,3.1962724,0.765135031,-1.193431139,-0.283130378,0,10,2,6,0,1,1,0,0,1,0,0,0,1.847071584
"35",355,2436,0.097389235,0.104205219,0.123839231,0.258994456,0.288641529,3.5094652,2.59946,9.188597,4.2906914,0.76453125,-0.315501422,-0.527824342,0,16,4,10,1,0,1,0,0,0,0,0,0,9.713054187
"36",215,1336,0.05354535,0.068466049,0.102847678,0.204448221,0.11029923,2.9978862,1.3370887,9.953589,6.4828844,0.766655093,1.861317992,-1.054822326,0,12,2,7,1,0,1,0,0,0,0,0,0,7.994011976
"37",680,9352,0.165412434,0.067116533,0.170007127,0.152515143,0.04370128,1.7618891,4.250806,11.842532,3.1747348,0.755727238,-0.372268409,-0.383982509,0,9,3,9,0,0,0,0,0,0,0,0,0,2.527266895
"38",604,7920,0.025307372,0.020076806,0.115539349,0.098089141,0.072157825,1.0583024,4.55054,7.2710276,1.3692626,0.750021219,0.73711729,1.277756929,0,6,1,4,1,0,0,0,0,1,0,0,1,2.244444444
"39",5401,5978,0.118884247,0.083943093,0.112888839,0.216125409,0.160603088,1.3024254,2.4652128,7.619169,2.4289873,0.758288966,0.954571605,-0.579204857,0,7,0,7,0,0,0,0,0,0,0,0,0,4.231682837
"40",575,16730,0.119329326,0.131590309,0.021611314,0.298195707,0.233973358,3.5701218,3.9324024,11.996551,4.3119793,0.764699074,0.194009006,-0.181637004,0,11,1,35,0,1,1,0,0,0,0,0,0,9.256306037
"41",1010,104380,0.173792559,0.025002011,0.019142061,0.116896853,0.120296634,0.9702904,3.4052138,6.5878825,1.6693785,0.749755015,0.157133177,-0.499651611,0,14,0,20,0,0,0,0,0,0,0,0,0,2.117081816
"42",82,204,0,0.013992388,0.012389218,0.211219459,0.052906379,1.570992,0,9.093795,3.0119736,0.77496142,-0.52638948,-0.193537056,0,14,4,6,0,0,1,0,0,0,0,0,0,6.210784314
"43",60,1673,0,0,0,0.028813016,0.086584877,1.9620036,3.6157107,7.73135,2.287124,0.768373843,0.703030825,0.450369716,0,9,2,5,0,0,0,0,0,0,0,0,0,4.362223551
"44",585,1278,0.083991801,0.103297968,0.257760116,0.185801935,0.058730167,4.15133,4.507933,6.906022,3.68185,0.769280478,0.041727409,-0.200513452,0,16,4,6,1,0,1,0,0,0,0,0,0,5.593114241
"45",222,792,0.051955128,0.064989001,0,0.359363221,0.004852701,0,0,12.109294,6.6068916,0.672347608,1.490167022,-0.065034233,0,13,1,15,0,0,1,0,0,0,0,0,0,7.212121212
"46",238,1687,0.190777101,0.129309791,0.236382269,0.220463545,0.016191198,3.2593372,1.7818975,10.233247,5.7173157,0.769313272,1.340147853,-0.773708105,0,15,7,5,1,0,1,0,0,0,0,0,0,5.769413159
"47",76,1170,0.062108841,0,0.017999084,0.270006255,0.054071657,2.2023778,1.7754619,10.70213,4.900883,0.76869213,0.330254316,-1.045469046,0,9,2,2,0,0,1,0,0,0,0,0,0,3.231623932
"48",289,3140,0.009327528,0.05928474,0.248118434,0.249861103,0.002293533,1.2120106,1.813249,6.6778903,1.9394827,0.720609568,0.452343673,-0.378940761,0,10,0,13,0,0,0,0,0,0,0,0,0,4.135987261
"49",123,14504,0.050451663,0.092213191,0.053268431,0.259481486,0.117472661,1.1951398,3.5677946,8.547363,2.0830762,0.746242284,0.519981325,-0.4656367,0,9,0,6,0,0,0,0,0,0,0,0,0,4.536059018
